A,W,MT,ID
32,1,0,5
32,1,0,5
32,1,0,5
32,1,465,5
32,1,450,5
32,2,596,4
32,2,472,4
32,2,1414,4
32,2,457,4
32,2,444,4
64,4,470,4
64,4,431,4
64,4,498,4
64,4,399,4
64,4,410,4
16,4,439,2
16,4,416,2
16,4,408,2
16,4,388,2
16,4,389,2
16,1,440,4
16,1,443,4
16,1,423,4
16,1,389,4
16,1,0,4
64,1,437,6
64,1,1346,6
64,1,451,6
64,1,457,6
64,1,499,6
64,2,555,5
64,2,832,5
64,2,440,5
64,2,1418,5
64,2,950,5
32,4,436,3
32,4,465,3
32,4,1034,3
32,4,574,3
32,4,430,3
16,2,935,3
16,2,850,3
16,2,859,3
16,2,832,3
16,2,404,3
512,16,568,5
512,16,414,5
512,16,770,5
512,16,894,5
512,16,1060,5
512,16,996,5
512,16,554,5
512,16,441,5
512,16,587,5
128,16,389,3
128,16,409,3
128,16,526,3
128,16,430,3
128,16,472,3
128,16,583,3
128,16,680,3
128,16,610,3
128,16,963,3
256,32,874,3
256,32,654,3
256,32,930,3
256,32,1105,3
256,32,735,3
256,32,894,3
256,32,872,3
256,32,852,3
256,32,665,3
512,32,668,4
512,32,714,4
512,32,1218,4
512,32,790,4
512,32,755,4
512,32,617,4
512,32,1421,4
512,32,687,4
512,32,775,4
